Signatures,Genes
Th1_cells_Bindea_et_al,IFNG/LTA/APBB2/DOK5/IL12RB2/APOD/ZBTB32/CD38/CSF2/CTLA4/CD70/DPP4/EGFL6/BST2/DUSP5/LRP8/IL22/DGKI/CCL4/GGT1/LRRN3/SYNGR3/ATP9A/BTG3/CMAH/HBEGF/SGCB
Th2_cells_Bindea_et_al,PMCH/AHI1/PTGIS/CXCR6/EVI5/IL26/MB/NEIL3/GSTA4/PHEX/SMAD2/CENPF/ANK1/ADCY1/AI582773/LAIR2/SNRPD1/MICAL2/DHFR/WDHD1/BIRC5/SLC39A14/HELLS/LIMA1/CDC25C/CDC7/GATA3
TFH_Bindea_et_al,CHI3L2/CXCL13/MYO7A/CHGB/ICA1/HEY1/CDK5R1/ST8SIA1/PDCD1/BLR1/KIAA1324/PVALB/TSHR/C18orf1/TOX/SLC7A10/SMAD1/POMT1/PASK/MKL2/PTPN13/KCNK5/ZNF764/MAF/MYO6/SIRPG/THADA/MAGEH1/B3GAT1/SH3TC1/HIST1H4K/STK39
Th17_cells_Bindea_et_al,IL17A/IL17RA/RORC
Treg_Bindea_et_al,FOXP3
CD8_T_cells_Bindea_et_al,CD8B/CD8A/PF4/PRR5/SF1/LIME1/DNAJB1/ARHGAP8/GZMM/SLC16A7/SFRS7/APBA2/C4orf15/LEPROTL1/ZFP36L2/GADD45A/MYST3/ZEB1/ZNF609/C12orf47/THUMPD1/VAMP2/ZNF91/ZNF22/TMC6/FLT3LG/CDKN2AIP/TSC22D3/TBCC/RBM3/ABT1/C19orf6/CAMLG/PPP1R2/AES/KLF9/PRF1
Tgd_Bindea_et_al,TRDA/TARP/C1orf61/TRGV9/CD160/FEZ1
Cytotoxic_cells_Bindea_et_al,KLRD1/KLRF1/GNLY/CTSW/KLRB1/KLRK1/NKG7/GZMH/SIGIRR/ZBTB16/RUNX3/APOL3/RORA/APBA2/WHDC1L1/DUSP2/GZMA
NK_cells_Bindea_et_al,LOC643313/GAGE2/ZNF747/XCL1/XCL2/AF107846/SLC30A5/NM_014114/MCM3AP/TBXA2R/CDC5L/LOC730096/FUT5/FGF18/MRC2/RP5-886K2.1/SPN/PSMD4/PRX/FZR1/ZNF205/AL080130/ZNF528/MAPRE3/BCL2/NM_017616/ARL6IP2/PDLIM4/NM_014274/LDB3/ADARB1/SMEK1/TCTN2/TINAGL1/IGFBP5/ALDH1B1/NCR1
NK_CD56dim_cells_Bindea_et_al,KIR3DL2/SPON2/KIR2DL3/GZMB/KIR3DS1/KIR3DL1/FLJ20699/TMEPAI/IL21R/KIR3DL3/KIR2DS5/KIR2DS2/GTF3C1/KIR2DS1/EDG8/DUSP4/RRAD/XCL1/PLA2G6/NIBP/FOXJ1/MADD/BG255923/MPPED1/MUC3B
DC_Bindea_et_al,CD209/CCL17/HSD11B1/CCL13/CCL22/PPFIBP2/NPR1
