IOBR,Gene
Eosinophils_Bindea_et_al,IL5RA/KCNH2/TKTL1/EMR1/CCR3/ACACB/THBS1/GALC/RNU2/CLC/HIST1H1C/CYSLTR2/HRH4/RNASE2/CAT/LRP5L/SYNJ1/THBS4/GPR44/KBTBD11/HES1/ABHD2/TIPARP/SMPD3/MYO15B/TGIF1/RRP12/IGSF2/RCOR3/EPN2/C9orf156/SIAH1
Macrophages_Bindea_et_al,MARCO/CXCL5/SCG5/SULT1C2/MSR1/CTSK/PTGDS/COLEC12/GPC4/PCOLCE2/CHIT1/KAL1/CLEC5A/ME1/DNASE2B/CCL7/FN1/CD163/GM2A/SCARB2/BCAT1/RAI14/COL8A2/APOE/CHI3L1/ATG7/CD84/FDX1/MS4A4A/SGMS1/EMP1/CYBB/CD68
Mast_cells_Bindea_et_al,PRG2/CTSG/TPSAB1/SLC18A2/MS4A2/CPA3/TPSB2/NM_003293/GATA2/HDC/LOH11CR2A/SIGLEC6/ELA2/CMA1/PGDS/MLPH/ADCYAP1/SLC24A3/CALB2/KIT/TAL1/ABCC4/PPM1H/MAOB/HPGD/SCG2/PTGS1/CEACAM8/MPO/NR0B1/LOC339524
Neutrophils_Bindea_et_al,CSF3R/CYP4F3/VNN3/FPRL1/KCNJ15/MME/IL8RA/IL8RB/FCGR3B/DYSF/FCAR/CEACAM3/HIST1H2BC/HPSE/FLJ11151/CREB5/S100A12/TNFRSF10C/SLC22A4/KIAA0329/SLC25A37/BST1/CRISPLD2/G0S2/SIGLEC5/CD93/MGAM/ALPL/FPR1/PDE4B/LILRB2
SW480_cancer_cells_Bindea_et_al,KRT5/RBP1/TRIM29/DEFA5/BMP4/EEF1A2/VSNL1/ASPSCR1/IGF2/MFAP2/FGF3/S100A2/INHBB/JAG2/LOC89944/BAMBI/BMP7/RPP25/RHOD/DHRS2/ITGB4/NTSR1/STRA6/SLC1A5/FKBP4/S100A3/TEAD4/KLK6/CCND1/SLC27A5/HOXA9/F12/LRFN4/NM_024609/SLC6A8/PCTK1/KRT13
Normal_mucosa_Bindea_et_al,TSPAN8/LGALS4/DCN/COL3A1/CEACAM5/TAGLN/KRT20/MYH11/FXYD3/ACTG2/MYLK/TPM1/CDH17/NFIB/MGP/SPARCL1/RGS5/PPAP2B/IGFBP7/CALD1/C1R/AGR2/GNA11/HEPH/GNG12/ADH1B/CRIM1/FBLN1/IGFBP5/LAMA4/CAV1/WASL
Blood_vessels_Bindea_et_al,CDH5
Lymph_vessels_Bindea_et_al,PDPN/VEGFC/FIGF
Antigen_Processing_and_Presentation_Li_et_al,AZGP1/B2M/CALR/CANX/CD1A/CD1B/CD1C/CD1D/CD1E/CD4/CD8A/CD8B/CD74/CREB1/CTSB/CTSE/CTSS/FCER1G/FCGRT/PDIA3/HFE/HLA-A/HLA-B/HLA-C/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DOB/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-F/HLA-G/MR1/HSPA1A/HSPA1B/HSPA1L/HSPA2/HSPA4/HSPA5/HSPA6/HSPA8/HSP90AA1/HSP90AB1/ICAM1/IFNA1/IFNA2/IFNA4/IFNA5/IFNA6/IFNA7/IFNA8/IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA21/IFNG/KIR2DL1/KIR2DL3/KIR2DL4/KIR3DL1/KIR3DL2/KLRC1/KLRC2/KLRC3/KLRD1/LTA/CIITA/MICA/MICB/NFYA/NFYB/NFYC/LGMN/PSMB8/PSMC1/PSMC2/PSMC3/PSMC4/PSMC5/PSMC6/PSMD1/PSMD2/PSMD3/PSMD4/PSMD5/PSMD7/PSMD8/PSMD10/PSMD11/PSMD13/PSME1/PSME2/RELB/RFX5/RFXAP/SLC10A2/TAP1/TAP2/TAPBP/THBS1/KLRC4/AP3B1/RFXANK/PSMD6/PSME3/PSMD14/CLEC4M/IFI30/PROCR/ADRM1/KIAA0368/TRPC4AP/CD209/UBXN1/ERAP1/TAPBPL/ERAP2/ULBP3/ULBP2/ULBP1/KIR3DL3/RAET1E/RAET1L/UBR1/RAET1G/PDIA2
Antimicrobials_Li_et_al,HAMP/PI3/CAMP/PPBP/REG3G/CXCL14/CXCL16/SLPI/CXCL10/CXCL9/CXCL5/CXCL11/CXCL6/CXCL1/CXCL12/CXCL13/CXCL2/PF4/XCL1/CXCL3/DEFB103A/CCL13/CCL1/DEFB1/CCL8/ELANE/DEFB103B/DEFA3/DEFA1/TMSB10/DEFA6/DEFA5/DEFA4/LCN2/LCN1/COLEC10/BPI/S100A9/S100A8/DCD/LCN6/S100A12/HTN3/LCN8/CCR10/CELA1/DEFB106A/PENK/MMP12/LEAP2/SFTPD/LCN9/PTGDS/TMSB4X/PGLYRP1/ZC3HAV1/TMSB15A/S100B/S100A13/S100A6/DEFB119/DEFB107A/DEFB105A/SERPIND1/DEFB129/DEFB127/S100P/S100A7/DEFB104A/DEFB126/DEFB106B/DEFB104B/DEFB107B/PGLYRP3/PGLYRP2/S100A10/S100A2/DEFB125/DEFB123/DEFB105B/DEFB132/LCN12/PGLYRP4/S100A11/S100A5/S100A3/S100A1/DEFB128/DEFB108B/HTN1/LMBR1L/S100A7A/DEFB118/COLEC12/TMSB4Y/DEFB131/DEFB134/DEFB130/DEFB124/DEFB121/DEFB116/DEFB115/DEFB114/DEFB113/DEFB112/DEFB110/TMSB15B/DEFB133/S100Z/MAVS/S100A14/LCN10/S100A16/DEFB136/ZC3HAV1L/S100A7L2/IFNAR1/AZU1/S100G/TCHHL1/TINAGL1/IFNGR1/SLC22A17/WFIKKN1/WFDC2/IL6/UMODL1/TGFB1/PF4V1/MMP9/TLR4/IFNG/SPAG11B/A2M/NFKB1/APOBEC3G/FABP6/NOD2/MBL2/RBP1/TLR2/SLC40A1/PLAU/IL1B/PAEP/HFE2/MUC5AC/CTSS/OBP2A/PLTP/MX1/DDX58/IRF3/SFTPA2/LPA/LBP/RBP4/SFTPA1/NOX4/LTF/IFNB1/RBP5/FABP7/FABP5/FABP3/FABP2/FABP4/R3HDML/OASL/CRABP2/CRABP1/RBP7/DUOX1/OBP2B/RBP2/LCN15/CETP/FABP12/FABP9/LCNL1/C8G/SPAG11A/PI15/NOX1/PMP2/APOD/ORM2/ORM1/TNF/CTSG/PRTN3/MAPK1/PML/AEN/CYBB/ISG20/BCL3/ISG20L2/NOX5/NOX3/DUOX2/TLR3/TFRC/IFIH1/LRP1/TRIM5/IDO1/GDF15/NEDD4/ADIPOQ/STAT3/STAT1/SOCS3/SEMG1/TNFSF10/CCL20/SOCS1/RNASEL/IRF1/IL15/APOBEC3F/RARRES3/CHIT1/IFNA1/CD40/TLR7/PPIA/HFE/ZYX/NLRX1/PGC/VEGFA/IKBKE/ISG15/DHX58/TNFAIP3/TFR2/FCN2/MUC4/F2R/ELN/IL27/MAPT/LYZ/CCL5/LEP/CYLD/KLKB1/CST4/CSRP1/MAPK14/JUN/ITGAV/IRF5/CCR6/IL12B/TLR8/GNLY/CD81/EIF2AK2/APOM/CACYBP/NOD1/MAPK8/MAPK3/BST2/BPHL/PLA2G2A/GRN/PDGFRA/GNAI1/WNT5A/FURIN/ADAR/TYK2/NOS2/TRAF3/TPT1/TPM2/NEO1/AHNAK/TLR1/TK2/PRDX2/MX2/FGF2/FGA/TCF7L2/F2RL1/MSR1/NFKBIZ/LMBR1/SRC/MPO/ELAVL1/ROBO3/SP1/SOD1/PDF/DLL4/ECD/SLC11A1/DMBT1/TMEM173/SKIV2L/SEMG2/LTA/DES/DCK/DAXX/TNFRSF10A/TNFRSF10B/EED/CCL4/LIMS1/LALBA/APOBEC3H/TMPRSS6/SPINK5/MARCO/BECN1/TNFSF11/KNG1/CSK/KLRK1/KCNH2/JUND/JAK1/CREB1/CLDN4/CCL28/RNASE3/IRF7/IREB2/ILK/IL18/IL17A/LTB4R/APOBEC3A/MASP2/TRIM27/RELA/IL7R/IL1A/PTX3/IFNAR2/SYTL1/APOBEC3C/DDX17/PTGS2/HTR1A/CD40LG/CD14/CD8A/CD4/MASP1/PROC/MAP2K2/MAP2K1/HRG/NDRG1/IRF9/TRIM22/LANCL1/PPP4C/HMOX1/HMGB1/HLA-B/RNASE7/ABCC4/HGF/HDAC1/PLSCR1/B2M/BACH2/TANK/PIK3CG/ARRB1/RSAD2/STAB2/TBK1/PDYN/PDGFRB/PDCD1/PCSK2/PCSK1/ARG2/AQP9/FASLG/APOH/BIRC5/ANXA6/IL22/VTN/VIM/VCAM1/PRDX1/GFAP/GBP2/ALB/SLC29A3/OAS1/AGER/UNC93B1/TNFSF4/NOS1/ACTG1/ACTA1/ACO1/SERPINA3/CCL15/CCL14/CCL16/CCL19/CCL18/CCL17/CCL26/CCL22/CCR3/CCL4L2/CCR7/CCL27/CCR8/CCL2/CCL21/CCL7/CCL3/CCL11/CCR5/CCL23/CCL25/CCL3L3/CCR1/CCL24/XCL2/CXCR4/CXCR6/CCR4/FAM19A5/FAM19A3/FAM19A4/FAM19A1/FAM19A2/PTK2B/IL4/CDH1/LTBP1/IL13/IL10/IL2/PPARG/FGR/MIF/CRP/JAK2/PTK2/PTGDR/CD86/HCK/VDR/OLR1/TXK/RNASE2
BCR_Signaling_Pathway_Li_et_al,CD79A/CD79B/LYN/SYK/BTK/BLNK/VAV3/VAV1/VAV2/RAC1/RAC2/RAC3/PPP3CA/PPP3CB/PPP3CC/PPP3R1/PPP3R2/CHP2/NFAT5/NFATC1/NFATC2/NFATC3/NFATC4/HRAS/KRAS/NRAS/FOS/JUN/CARD11/BCL10/MALT1/CHUK/IKBKB/IKBKG/NFKB1/RELA/NFKBIA/NFKBIB/NFKBIE/CD81/CD19/CR2/PIK3R5/PIK3R1/PIK3R2/PIK3R3/PIK3CA/PIK3CB/PIK3CD/PIK3CG/AKT3/AKT1/AKT2/GSK3B/INPP5D/CD22/CD72/PTPN6/LILRB3/FCGR2B/RASGRP3/PLCG2/PRKCB/IFITM1
Chemokines_Li_et_al,C3/C5/CAMP/CCL1/CCL11/CCL13/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL24/CCL25/CCL26/CCL27/CCL28/CCL3/CCL3L3/CCL4/CCL4L2/CCL5/CCL7/CCL8/CKLF/CMA1/CTSG/CX3CL1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL14/CXCL16/CXCL17/CXCL2/CXCL3/CXCL5/CXCL6/CXCL9/CYR61/DEFA1/DEFA3/DEFA5/DEFB1/DEFB103A/DEFB104A/EDN1/EDN2/EDN3/FGF10/FGF2/HTN3/LECT2/PF4/PF4V1/PLAU/PPBP/PROK2/RNASE2/SAA1/SAA2/SBDS/SEMA3A/SEMA3B/SEMA3C/SEMA3D/SEMA3E/SEMA3F/SEMA3G/SEMA4A/SEMA4B/SEMA4C/SEMA4D/SEMA4F/SEMA4G/SEMA5A/SEMA5B/SEMA6A/SEMA6B/SEMA6C/SEMA6D/SEMA7A/SLIT1/SLIT2/TNC/TYMP/XCL1/XCL2
Chemokine_Receptors_Li_et_al,C5AR1/CCR1/CCR10/CCR3/CCR4/CCR5/CCR6/CCR7/CCR8/CCR9/CCRL2/CMKLR1/CX3CR1/CXCR3/CXCR4/CXCR5/CXCR6/CYSLTR1/CYSLTR2/EDNRA/EDNRB/FPR1/FPR2/GPR17/GPR32/GPR33/LTB4R/LTB4R2/PLAUR/PLXNA1/PLXNA2/PLXNA3/PLXNA4/PLXNB1/PLXNB2/PLXNB3/PLXNC1/PLXND1/PTAFR/ROBO1/ROBO2/ROBO3/RXFP3/XCR1
Cytokines_Li_et_al,ADIPOQ/ADM/ADM2/AGRP/AGT/AMBN/AMELX/AMH/ANGPTL5/ANGPTL7/APLN/AREG/ARTN/AVP/AZU1/BDNF/BMP1/BMP10/BMP15/BMP2/BMP3/BMP4/BMP5/BMP6/BMP7/BMP8A/BMP8B/BTC/C3/C5/CALCA/CALCB/CAMP/CAT/CCK/CCL1/CCL11/CCL13/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL24/CCL25/CCL26/CCL27/CCL28/CCL3/CCL3L3/CCL4/CCL4L2/CCL5/CCL7/CCL8/CD320/CD40LG/CD70/CECR1/CER1/CGA/CGB1/CGB2/CGB5/CGB7/CGB8/CHGA/CHGB/CKLF/CLCF1/CLEC11A/CMA1/CMTM1/CMTM2/CMTM3/CMTM4/CMTM5/CMTM6/CMTM7/CMTM8/CNTF/CORT/CRH/CSF1/CSF2/CSF3/CSH1/CSH2/CSHL1/CSPG5/CTF1/CTGF/CTSG/CX3CL1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL14/CXCL16/CXCL17/CXCL2/CXCL3/CXCL5/CXCL6/CXCL9/CYR61/DEFA1/DEFA3/DEFA5/DEFB1/DEFB103A/DEFB104A/DKK1/EBI3/EDN1/EDN2/EDN3/EGF/EPGN/EPO/EREG/ESM1/FAM3B/FAM3C/FAM3D/FASLG/FGF1/FGF10/FGF11/FGF12/FGF13/FGF14/FGF16/FGF17/FGF18/FGF19/FGF2/FGF20/FGF21/FGF22/FGF23/FGF3/FGF4/FGF5/FGF6/FGF7/FGF8/FGF9/FIGNL2/FLT3LG/FSHB/GAL/GALP/GAST/GCG/GDF1/GDF10/GDF11/GDF15/GDF2/GDF3/GDF5/GDF6/GDF7/GDF9/GDNF/GH1/GH2/GHRH/GHRL/GIP/GKN1/GMFB/GMFG/GNRH1/GNRH2/GPHA2/GPHB5/GPI/GREM1/GREM2/GRN/GRP/GUCA2A/HAMP/HBEGF/HDGF/HGF/HTN3/IAPP/IFNA1/IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA2/IFNA21/IFNA4/IFNA5/IFNA6/IFNA7/IFNA8/IFNB1/IFNE/IFNG/IFNK/IFNW1/IGF1/IGF2/IL10/IL11/IL12A/IL12B/IL13/IL15/IL16/IL17A/IL17B/IL17C/IL17D/IL17F/IL18/IL19/IL1A/IL1B/IL1F10/IL1RN/IL2/IL20/IL21/IL22/IL23A/IL24/IL25/IL26/IL27/IL3/IL31/IL32/IL33/IL34/IL4/IL5/IL6/IL6ST/IL7/IL9/INHA/INHBA/INHBB/INHBC/INHBE/INS/INS-IGF2/INSL3/INSL4/INSL5/INSL6/JAG1/JAG2/KITLG/KL/LACRT/LECT2/LEFTY1/LEFTY2/LEP/LHB/LIF/LRSAM1/LTA/LTB/LTBP1/LTBP2/LTBP3/LTBP4/MDK/MIA/MIF/MLN/MSTN/NAMPT/NDP/NENF/NGF/NMB/NODAL/NOV/NPFF/NPPA/NPPB/NPPC/NPY/NRG1/NRG2/NRG3/NRG4/NRTN/NTF3/NTF4/NTS/NUDT6/OGN/OSGIN1/OSM/OSTN/OXT/PDGFA/PDGFB/PDGFC/PDGFD/PDGFRA/PDGFRB/PDGFRL/PDYN/PENK/PF4/PF4V1/PGF/PLAU/PMCH/PNOC/POMC/PPBP/PPY/PRL/PRLH/PROK1/PROK2/PSPN/PTH/PTH2/PTHLH/PTN/PYY/QRFP/RABEP1/RABEP2/REG1A/RETN/RETNLB/RLN1/RLN2/RLN3/RNASE2/S100A6/SAA1/SAA2/SBDS/SCG2/SCGB3A1/SCT/SECTM1/SEMA3A/SEMA3B/SEMA3C/SEMA3D/SEMA3E/SEMA3F/SEMA3G/SEMA4A/SEMA4B/SEMA4C/SEMA4D/SEMA4F/SEMA4G/SEMA5A/SEMA5B/SEMA6A/SEMA6B/SEMA6C/SEMA6D/SEMA7A/SLIT1/SLIT2/SLURP1/SPP1/SST/STC1/STC2/TAC1/TDGF1/TG/TGFA/TGFB1/TGFB2/TGFB3/THPO/TNC/TNF/TNFRSF11B/TNFSF10/TNFSF11/TNFSF12/TNFSF13/TNFSF13B/TNFSF14/TNFSF15/TNFSF18/TNFSF4/TNFSF8/TNFSF9/TOR2A/TRH/TSHB/TSLP/TXLNA/TYMP/UCN/UCN2/UCN3/UTS2/VEGFA/VEGFB/VEGFC/VGF/VIP/XCL1/XCL2
Cytokine_Receptors_Li_et_al,ACVR1B/ACVR1C/ACVR2A/ACVR2B/ACVRL1/ADCYAP1R1/ADIPOR1/ADIPOR2/ADRB1/ADRB2/AGTR1/AGTR2/AMHR2/ANGPT1/ANGPT4/ANGPTL1/ANGPTL2/ANGPTL3/ANGPTL4/ANGPTL6/APLNR/AR/AVPR1A/AVPR1B/AVPR2/BMPR1A/BMPR1B/BMPR2/BRD8/C3AR1/C5AR1/CALCR/CALCRL/CCR1/CCR10/CCR3/CCR4/CCR5/CCR6/CCR7/CCR8/CCR9/CCRL2/CD40/CMKLR1/CNTFR/CRHR1/CRHR2/CRIM1/CRLF1/CRLF2/CRLF3/CSF1R/CSF2RA/CSF2RB/CSF3R/CX3CR1/CXCR3/CXCR4/CXCR5/CXCR6/CYSLTR1/CYSLTR2/EDNRA/EDNRB/EGFR/ENG/EPOR/ESR1/ESR2/ESRRA/ESRRB/ESRRG/FGFR1/FGFR2/FGFR3/FGFR4/FGFRL1/FLT1/FLT3/FLT4/FPR1/FPR2/FSHR/GALR2/GALR3/GCGR/GHR/GHRHR/GHSR/GIPR/GLP1R/GLP2R/GNRHR/GPR17/GPR32/GPR33/HNF4A/HNF4G/HTR3A/HTR3B/HTR3C/HTR3D/HTR3E/IFNAR1/IFNAR2/IFNGR1/IFNGR2/IGF1R/IGF2R/IL10RA/IL10RB/IL11RA/IL12RB1/IL12RB2/IL13RA1/IL13RA2/IL15RA/IL17RA/IL17RB/IL17RC/IL17RD/IL17RE/IL18R1/IL18RAP/IL1R1/IL1R2/IL1RAP/IL1RL1/IL1RL2/IL20RA/IL20RB/IL21R/IL22RA1/IL22RA2/IL23R/IL27RA/IL2RA/IL2RB/IL2RG/IL31RA/IL3RA/IL4R/IL5RA/IL6R/IL7R/IL9R/INSR/KDR/LEPR/LGR4/LGR5/LGR6/LHCGR/LIFR/LTB4R/LTB4R2/LTBR/MC1R/MC2R/MC3R/MC4R/MCHR1/MCHR2/MET/MLNR/MPL/MTNR1A/MTNR1B/NGFR/NMBR/NPR1/NPR3/NR0B1/NR0B2/NR1D1/NR1D2/NR1H2/NR1H3/NR1H4/NR1I2/NR1I3/NR2C1/NR2C2/NR2E1/NR2E3/NR2F1/NR2F2/NR2F6/NR3C1/NR3C2/NR4A1/NR4A2/NR4A3/NR5A1/NR5A2/NR6A1/NRP1/NRP2/OGFR/OPRD1/OPRK1/OPRL1/OPRM1/OSMR/OXTR/PGR/PGRMC2/PLAUR/PLXNA1/PLXNA2/PLXNA3/PLXNA4/PLXNB1/PLXNB2/PLXNB3/PLXNC1/PLXND1/PPARA/PPARD/PPARG/PRLHR/PRLR/PTAFR/PTGDR/PTGDS/PTGER1/PTGER2/PTGER3/PTGER4/PTGFR/PTH1R/PTH2R/RARA/RARB/RARG/ROBO1/ROBO2/ROBO3/RORA/RORB/RORC/RXFP1/RXFP2/RXFP3/RXRA/RXRB/RXRG/S1PR1/S1PR2/SCTR/SDC1/SDC2/SDC3/SDC4/SORT1/SSTR1/SSTR2/SSTR5/TACR1/TEK/TGFBR1/TGFBR2/TGFBR3/THRA/THRB/TIE1/TNFRSF10A/TNFRSF10B/TNFRSF10C/TNFRSF10D/TNFRSF11A/TNFRSF12A/TNFRSF13B/TNFRSF13C/TNFRSF14/TNFRSF17/TNFRSF18/TNFRSF19/TNFRSF1A/TNFRSF1B/TNFRSF21/TNFRSF25/TNFRSF4/TNFRSF6B/TNFRSF8/TNFRSF9/TRHR/TSHR/TUBB3/VDR/VIPR1/VIPR2/XCR1
Interferons_Li_et_al,IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA2/IFNA21/IFNA4/IFNA5/IFNA6/IFNA7/IFNA8/IFNB1/IFNE/IFNG/IFNK/IFNW1
Interferon_Receptor_Li_et_al,IFNAR2/IFNGR1/IFNGR2
Interleukins_Li_et_al,IL11/IL12A/IL12B/IL13/IL15/IL16/IL17A/IL17B/IL17C/IL17D/IL17F/IL18/IL19/IL1A/IL1B/IL1F10/IL1RN/IL2/IL20/IL21/IL22/IL23A/IL24/IL25/IL26/IL27/IL3/IL31/IL32/IL33/IL34/IL4/IL5/IL6/IL6ST/IL7/IL9/TXLNA
Interleukins_Receptor_Li_et_al,IL10RA/IL10RB/IL11RA/IL12RB1/IL12RB2/IL13RA1/IL13RA2/IL15RA/IL17RA/IL17RB/IL17RC/IL17RD/IL17RE/IL18R1/IL18RAP/IL1R1/IL1R2/IL1RAP/IL1RL1/IL1RL2/IL20RA/IL20RB/IL21R/IL22RA1/IL22RA2/IL23R/IL27RA/IL2RA/IL2RB/IL2RG/IL31RA/IL3RA/IL4R/IL5RA/IL6R/IL7R/IL9R
Natural_Killer_Cell_Cytotoxicity_Li_et_al,HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/KIR3DL1/KIR3DL2/KIR2DL1/KIR2DL3/KIR2DL4/KLRC1/KLRC2/KLRC3/KLRD1/PTPN6/PTPN11/ICAM1/ICAM2/ITGAL/ITGB2/PTK2B/VAV3/VAV1/VAV2/RAC1/RAC2/RAC3/PAK1/MAP2K1/MAP2K2/MAPK1/MAPK3/TNF/CSF2/IFNG/NCR2/TYROBP/LCK/FCGR3A/FCGR3B/NCR1/NCR3/FCER1G/CD247/ZAP70/SYK/LCP2/LAT/PLCG1/PLCG2/SH3BP2/PIK3CA/PIK3CB/PIK3CD/PIK3CG/PIK3R5/PIK3R1/PIK3R2/PIK3R3/FYN/SHC2/SHC4/SHC3/SHC1/GRB2/SOS1/SOS2/HRAS/KRAS/NRAS/ARAF/BRAF/RAF1/MICA/MICB/ULBP3/ULBP2/ULBP1/KLRK1/HCST/CD48/CD244/PPP3CA/PPP3CB/PPP3CC/PPP3R1/PPP3R2/CHP2/NFAT5/NFATC1/NFATC2/NFATC3/NFATC4/PRKCA/PRKCB/PRKCG/SH2D1B/SH2D1A/IFNGR1/IFNGR2/IFNA1/IFNA2/IFNA4/IFNA5/IFNA6/IFNA7/IFNA8/IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA21/IFNB1/IFNAR1/IFNAR2/TNFSF10/TNFRSF10D/TNFRSF10C/TNFRSF10B/TNFRSF10A/FASLG/FAS/GZMB/PRF1/CASP3/BID
TCR_signaling_Pathway_Li_et_al,CD3D/CD3E/CD3G/CD247/CD4/CD8A/CD8B/PTPRC/LCK/FYN/ZAP70/LCP2/LAT/ITK/TEC/NCK1/NCK2/VAV3/VAV1/VAV2/GRAP2/GRB2/PAK1/PAK2/PAK3/PAK4/PAK6/RHOA/CDC42/PPP3CA/PPP3CB/PPP3CC/PPP3R1/PPP3R2/CHP2/NFAT5/NFATC1/NFATC2/NFATC3/NFATC4/SOS1/SOS2/HRAS/KRAS/NRAS/FOS/JUN/CARD11/BCL10/MALT1/CHUK/IKBKB/IKBKG/NFKB1/RELA/NFKBIA/NFKBIB/NFKBIE/CD28/ICOS/CD40LG/PIK3R5/PIK3R1/PIK3R2/PIK3R3/PIK3CA/PIK3CB/PIK3CD/PIK3CG/AKT3/AKT1/AKT2/MAP3K8/MAP3K14/PDCD1/CTLA4/PTPN6/CBLC/CBL/CBLB/IL2/IL4/IL5/IL10/IFNG/CSF2/TNF/CDK4/RASGRP1/PDK1/PLCG1/PRKCQ
TGFb_Family_Member_Li_et_al,BMP1/BMP10/BMP15/BMP2/BMP3/BMP4/BMP5/BMP6/BMP7/BMP8A/BMP8B/GDF1/GDF10/GDF11/GDF15/GDF2/GDF3/GDF5/GDF6/GDF7/GDF9/GDNF/INHA/INHBA/INHBB/INHBC/INHBE/LEFTY1/LEFTY2/NODAL/TGFB1/TGFB2/TGFB3
TGFb_Family_Member_Receptor_Li_et_al,ACVR1B/ACVR1C/ACVR2A/ACVR2B/ACVRL1/AMHR2/BMPR1A/BMPR1B/BMPR2/TGFBR1/TGFBR2/TGFBR3
TNF_Family_Members_Li_et_al,TNFRSF11B/TNFSF10/TNFSF11/TNFSF12/TNFSF13/TNFSF13B/TNFSF14/TNFSF15/TNFSF18/TNFSF4/TNFSF8/TNFSF9
TNF_Family_Members_Receptors_Li_et_al,TNFRSF10B/TNFRSF10C/TNFRSF10D/TNFRSF11A/TNFRSF12A/TNFRSF13B/TNFRSF13C/TNFRSF14/TNFRSF17/TNFRSF18/TNFRSF19/TNFRSF1A/TNFRSF1B/TNFRSF21/TNFRSF25/TNFRSF4/TNFRSF6B/TNFRSF8/TNFRSF9
T_cell_accumulation_Peng_et_al,FYN/F11R/SEMA4D/CCL1/EGR2/TBC1D22A/WNT10B/DGKA/TAP1/DGKZ/JUN/CXorf56/NPTXR/HIPK2/CBLB/BTG2/ENTPD1
T_cell_exhaustion_Peng_et_al,HSPA1B/HSPA1A/NR4A2/RGS1/TNFAIP3/CAMK2N1/DUSP1/NR4A3/IFIT3/IFIT1B/FOSB/CCL5/SAMD3/CCL3L3/MACC1/VPS37B/TF/DSEL/SPATA20/ADSSL1/DHX58/SPP1/TRIM15/DUSP26/ABI3/SFN/C1QC/RTP4/JUN/BCKDHB/CCL4/POU6F1/CYSLTR2/SLC14A1/RGS16/CUEDC1/DEDD2/CPEB1/CTSS/TMEM88/FAM196B/SKI/BTG1/SYCP2L/RGS2/ABCB1/ADRB2/CD69/RNF166/TNN
T_cell_regulatory_Peng_et_al,FOXP3/ITGB8/LRRC32/IKZF2/PENK/GPR83/WLS/PLAGL1/CD80/NT5E/IL10/FAM160A1/ECM1/CXCL10/PTPRJ/IL1R2/CORO2A/ARHGAP20/CD83/LY96/IKZF4/ANKRD55/NEB/RRAGD/TRAT1/SAMD9L/SCIN/TNFRSF8/FAM129A/CD200R1/IL18R1/MAF/RLN3/CCR6/SLC14A1/LDLRAD4/PHLPP1/ITGAE/CCR8/IFNGR1/SLC9A7/MYO1E/ZSCAN29/ANKRD12/GPR52/JUN/TTC39C/IFITM3/DUSP4/RTP4
ICB_resistance_Peng_et_al,KCNJ13/ADGRE1/LYZ/DPT/HLA-DQB1/LPAR4/CD53/SPP1/GXYLT2/IRGM/CXCL10/RTP4/FSCN1/FCGR3B/FCGR3A/IFI44/PLXNC1/CCL3L3/CYBB/USP18/IRF4/HLA-DQA1/TYROBP/ZBP1/MGLL/TGFBI/PTPRC/PSMB9/IFI16/CTSS/FOLR2/FAM81A/PDE8A/CCR5/SERPINB2/CLEC12A/MS4A7/CD180/OAS2/CCR2/HLA-DRB5/PLD4/XAF1/SLC7A8/CD84/CD74/CYTH4/FCER1G/IL7R/CLEC7A
MDSC_Peng_et_al,IL13RA2/SERPINE2/CT45A1/MAGEA4/MAGEA3/FDCSP/XAGE1B/IGFBP3/BMP2/LCN2/MRGPRX3/RRM2/COL9A3/UBE2C/ID1/BEX3/CTHRC1/AKAP12/WWTR1/SPOCK1/KRT18/CT45A5/TNC/SPANXB1/DCBLD2/CCNB1/SFRP1/OVOS2/HAS2/DKK1/MAGEC2/S100A16/PAGE5/PRAME/KRT6B/FAT1/APOBEC3B/ITGA2/PMEPA1/TM4SF1/MAGEA2/SERPINA3/MOCOS/TUBB3/POPDC3/S100A13/ASPM/GTSF1/YAP1/CNN3
